Company Name,Type,Traded,Traded as,ISIN,Domain,Industry,Founded,Founders,Headquarters,Number of locations,Area served,Products,Services,Revenue,Operating income,Net income,Total assets,Total equity,Key people,Number of employees,Subsidiaries,Divisions,Website
10x Genomics,Public,Nasdaq,TXG,,Biotechnology,Biotechnology,2012,"Serge Saxonov, Ben Hindson, Kevin Ness ","Pleasanton, California, U.S.",,,,,US$246 million,,,,,Serge Saxonov (CEO)Ben Hindson (President and Chief Scientific Officer),946,,,10xgenomics.com
180 Degree Capital,Public,Nasdaq,TURN,,Finance/Insurance,Investment Management,1981,,"Montclair, NJ, United States",,,Asset Management,,,,,,,,,,,www.180degreecapital.com
"1-800-Flowers.com, Inc.",Public,Nasdaq,FLWS,,Retail,Retail,1976,James McCann,"Carle Place, New York, United States",,,"Flowers, gift baskets, plants, food, collectibles",,,,,,,James McCann (Chairman) Chris McCann (CEO),,Harry & David,,1800flowersinc.com
1Life Healthcare,,Nasdaq,ONEM,,Healthcare,Primary healthcare,2007,Tom Lee,San Francisco,,,,,,,,,,"Amir Rubin, CEO",,,,www.onemedical.com
1st Constitution Bancorp,Public,Nasdaq,FCCY,,Banking,Banking,1989,,"Cranbury, New Jersey",,,,,,,, $ 1.079 billion , $ 0.111 billion ," Charles S. Crow, III, ChairmanRobert F. Mangano, CEO & PresidentJohn Andreacio, CCO & EVPStephen J. Gilhooly, CFO & SVP",183,,,www.1stconstitution.com
1st Source,Public,Nasdaq,SRCE,,Banking,Banking,1863,,"South Bend, Indiana",,,,,,,, $5.638 billion , $0.702 billion ," Christopher J. Murphy III, Chairman & CEOJames R. Seitz, PresidentAndrea G. Short, CFO","1,150",,,www.1stsource.com
23andMe,Public,Nasdaq,ME,,Biotechnology,Biotechnology  Genetic genealogy,Apr-06,Linda AveyPaul Cusenza Anne Wojcicki,"Sunnyvale, California, United States",,,Direct-to-consumer personal genome testing  Mobile application,"Genetic testing, genealogical DNA testing, medical research",US$475.1 million,,,,,Anne Wojcicki (CEO)Esther Dyson (board member),683,,,23andme.com
2U (company),Public,Nasdaq,TWOU,,Education,Education,2008,,"Lanham, Maryland, U.S.",,Global,,Educational technology,US$286.75 million, US$ -30.14 million , US$ -29.42 million, US$ 482.06 million , US$ 387.83 million ,Paul A. Maeder(Chairman of the Board)Christopher J. Paucek(CEO),"5,519",Trilogy Education Services,,2u.com
AAON,Public,Nasdaq,AAONS,,Miscelleneous,"Heating, Ventilating and Air Conditioning (HVAC)",1988,,"Tulsa, Oklahoma",,,,,,,,,,,"1,392",,,aaon.com
AbCellera,Public,Nasdaq,ABCL,,Biotechnology,Biotechnology,2012,,"Vancouver, British Columbia",,,,,,,,,,,,,,www.abcellera.com †
Abiomed,Public,Nasdaq,ABMDS,,Healthcare,Medical Devices,1981,,"Danvers, Massachusetts, U.S.",,,Cardiovascular medical implant devices,,US$840.88 million,US$249.22 million, US$203.01 million, US$1.2 billion , US$1.06 billion ,"Michael R. Minogue, CEOThorston Siess, CTOChuck Simonton, CMODr. David M. Weber, COOAndrew Greenfield, CCO","1,536",,,abiomed.com
Acacia Research,Public,Nasdaq,ACTG,,Service,Patent Licensing & Monetization,1993,Paul Ryan,"Irvine, CA, Irvine, California, USA",,,,,US$65.40 million,US$23.59 million, US$22.18 million,,,"Clifford Press, CEO Alfred V. Tobia, Jr., CIO ",,Acacia Research Group LLC,,acaciaresearch.com
Academy Sports + Outdoors,Public,Nasdaq,ASO,,Retail,Retail,1938,,"Unincorporated Harris County (near Katy, Texas, U.S.",259 †(2020),,Sports equipment,,US$4.9 Billion,,,,,"Max & Arthur Gochman, Founder Ken Hicks, CEO & President","17,000",,,www.academy.com
Acadia Healthcare,Public,Nasdaq,ACHCS,,Healthcare,Healthcare,,,,,,,,,,,,,,"20,000",,,acadiahealthcare.com
Acceleron Pharma,,Nasdaq,XLRN,,Biotechnology,Biotechnology,2003,,"Cambridge, Massachusetts, United States",,,,,US$74.5 million,,,,,Habib Dable (CEO)Steve Ertel (COO)Matt Sherman (CMO)Kevin McLaughlin (CFO)Francois Nader (Chairman),225,,,acceleronpharma.com
ACI Worldwide,Public,Nasdaq,ACIWS&,,Software/Hardware,Computer software,1975,,"Miami, Florida, United States",,Worldwide,IssuingAcquiringLow Value Real-Time PaymentsHigh Value Real-Time PaymentsEnterprise Payments PlatformDigital Business BankingSecure eCommerceOmni-CommerceACI SpeedpayFraud Management,,US$1.294 billion,US$144.7 million, US$ 72.6 million, US$ 3.38 billion , US$ 1.2 billion ,Odilon Almeida(President & CEO)(2020)Scott W. Behrens(Vice President & CFO)(2020),5000,,,www.aciworldwide.com
